,confidence,Incumbent Supplier,Receiving Plant,Receiving Plant City,Receiving Plant State,Receiving Plant Zip Code,Total Amount,Invoice,Equipment Type,Qty,Daily,Weekly,Monthly,Hours In,Hours Out,Amount,Usage in Hours,Hourly
188,0.977,"UNITED RENTALS (NORTH AMERICA), INC.",JOB GARAGE,CLAIRTON,PA,15025,"1,550.00",219076504-001,BUGGY 10-14 CUBIC FEET ELECTRIC,1,140,500,"1,200.00",,,"1,200.00",,
189,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",AGGLOMERATOR STEP III,MOUNTAIN IRON,MN,55768-3013,"1,689.00",214370586-007,FORKLIFT VARIABLE REACH 5000# 16-20',1,356,802,"1,689.00",. 00,1057,"1,689.00",,
190,0.987,"UNITED RENTALS (NORTH AMERICA), INC.","1 BROADWAY, GARY",GARY,IN,46402,"2,855.00",197892331-042,MODULAR BLDG 24X60 W/1-RR,1,,,"1,815.00",,,"1,815.00",,
191,0.987,"UNITED RENTALS (NORTH AMERICA), INC.","1 BROADWAY, GARY",GARY,IN,46402,"2,855.00",197892331-042,OFFICE TRAILER STEPS,2,,,45,,,90,,
192,0.987,"UNITED RENTALS (NORTH AMERICA), INC.","1 BROADWAY, GARY",GARY,IN,46402,"2,855.00",197892331-042,MISCELLANEOUS BULK INVENTORY EQUIPMENT,1,,,950,,,950,,
193,0.997,"UNITED RENTALS (NORTH AMERICA), INC.",FINES CRUSHER,MOUNTAIN IRON,MN,55768-3013,470,214265736-002,INDUSTRIAL ELECTRIC CART 3 WHEELED,1,71,175,470,. 00,1725,470,,
194,0.676,"UNITED RENTALS (NORTH AMERICA), INC.",AGGLOMERATOR STEP I&II,MOUNTAIN IRON,MN,55768-3013,"1,486.07",224211477-001,"POWER TRACK, MA550-RB JLG SHOP SUPPLIES",1 1,,,,,,599.47 34.10,,
195,0.676,"UNITED RENTALS (NORTH AMERICA), INC.",AGGLOMERATOR STEP I&II,MOUNTAIN IRON,MN,55768-3013,"1,486.07",224211477-001,TRAVEL,,,1.5,,,,232.5,,
196,0.676,"UNITED RENTALS (NORTH AMERICA), INC.",AGGLOMERATOR STEP I&II,MOUNTAIN IRON,MN,55768-3013,"1,486.07",224211477-001,LABOR-DIAGNOSTIC TIME,,9/5/23,1,,,,155,,
197,0.676,"UNITED RENTALS (NORTH AMERICA), INC.",AGGLOMERATOR STEP I&II,MOUNTAIN IRON,MN,55768-3013,"1,486.07",224211477-001,LABOR-LOCATING EQUIPMENT,.,9/5/23,25,155,,,38.75,,
198,0.676,"UNITED RENTALS (NORTH AMERICA), INC.",AGGLOMERATOR STEP I&II,MOUNTAIN IRON,MN,55768-3013,"1,486.07",224211477-001,TRAVEL,,9/8/23,1.25,155,,,193.75,,
199,0.676,"UNITED RENTALS (NORTH AMERICA), INC.",AGGLOMERATOR STEP I&II,MOUNTAIN IRON,MN,55768-3013,"1,486.07",224211477-001,LABOR-REPAIR,,9/8/23,1.5,155,,,232.5,,
200,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",JOB GARAGE,CLAIRTON,PA,15025,"4,200.00",203333992-020,BOOM 76-85' ARTICULATING,1,900,"1,900.00","4,200.00",. 00,1773.2,"4,200.00",,
201,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",FINES CRUSHER,MOUNTAIN IRON,MN,55768-3013,"1,857.00",214266122-005,SKID STEER MINI 301-600# TRACKED,1,270,766,"1,857.00",. 00,478.71,"1,857.00",,
202,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",PLANT BULL GANG,MOUNTAIN IRON,MN,55768-3013,"2,473.00",217063971-001,BOOM 30-33' ARTICULATING DC,1,594,"1,214.00","2,133.00",. 00,445,"2,133.00",,
203,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",UTILITIES,MOUNTAIN IRON,MN,55768,"2,551.06",229618674-003,FORKLIFT VARIABLE REACH 5000# 16-20',1,490,"1,085.00","2,180.00",1644.5,1641,"2,180.00",,
204,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",USS - GRANITE CITY,GRANITE CITY,IL,62040,"1,925.00",216332284-003,FORKLIFT ROUGH TERRAIN 6000# 21-29',1,375,900,"1,925.00",. 00,5116.8,"1,925.00",,
205,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",AGGLOMERATOR STEP I&II,MOUNTAIN IRON,MN,55768-3013,"1,890.00",206030745-013,BOOM 40-50' ARTICULATING,1,395,890,"1,890.00",. 00,2169,"1,890.00",,
206,0.997,"UNITED RENTALS (NORTH AMERICA), INC.",FINES CRUSHER,MOUNTAIN IRON,MN,55768-3013,791,214551178-005,SWEEPER WALKBEHIND,1,199,453,791,. 00,285,791,,
207,0.915,"UNITED RENTALS (NORTH AMERICA), INC.",US STEEL #14 BLAST FURNACE,GARY,IN,46402-3101,"3,246.16",220878902-001,RUBBER TRACK,1,,,2062.33,,,"2,062.33",,
208,0.915,"UNITED RENTALS (NORTH AMERICA), INC.",US STEEL #14 BLAST FURNACE,GARY,IN,46402-3101,"3,246.16",220878902-001,REAR GLASS,1,,,102.94,EACH,,102.94,,
209,0.915,"UNITED RENTALS (NORTH AMERICA), INC.",US STEEL #14 BLAST FURNACE,GARY,IN,46402-3101,"3,246.16",220878902-001,FREIGHT ON PARTS,1,,,79.89,EACH,,79.89,,
210,0.915,"UNITED RENTALS (NORTH AMERICA), INC.",US STEEL #14 BLAST FURNACE,GARY,IN,46402-3101,"3,246.16",220878902-001,SHOP SUPPLIES,1,,,38.5,EACH,,38.5,,
211,0.915,"UNITED RENTALS (NORTH AMERICA), INC.",US STEEL #14 BLAST FURNACE,GARY,IN,46402-3101,"3,246.16",220878902-001,LABOR-REPAIR,1,,,175,,,175,,
212,0.915,"UNITED RENTALS (NORTH AMERICA), INC.",US STEEL #14 BLAST FURNACE,GARY,IN,46402-3101,"3,246.16",220878902-001,LABOR-REPAIR,3,,,175,,,525,,
213,0.915,"UNITED RENTALS (NORTH AMERICA), INC.",US STEEL #14 BLAST FURNACE,GARY,IN,46402-3101,"3,246.16",220878902-001,TRAVEL,0.5,,,175,,,87.5,,
214,0.915,"UNITED RENTALS (NORTH AMERICA), INC.",US STEEL #14 BLAST FURNACE,GARY,IN,46402-3101,"3,246.16",220878902-001,LABOR-REPAIR,1,,,175,,,175,,
215,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",FINES CRUSHER,MOUNTAIN IRON,MN,55768-3013,"1,507.00",214026550-009,FORKLIFT WHSE 6000# GAS/LP,1,286,743,"1,507.00",. 00,861.91,"1,507.00",,
216,0.997,"UNITED RENTALS (NORTH AMERICA), INC.",32A-255-G NO 14 BLAST FURNACE,GARY,IN,46402-1060,"12,708.00",218057084-003,65HP HYDRAULIC POWER UNIT,1,450,900,"2,700.00",. 00,6100,"2,700.00",,
217,0.997,"UNITED RENTALS (NORTH AMERICA), INC.",32A-255-G NO 14 BLAST FURNACE,GARY,IN,46402-1060,"12,708.00",218057084-003,"6"" HYDRAULIC PUMP HEAD CAST IRON",1,200,400,"1,200.00",,,"1,200.00",,
218,0.997,"UNITED RENTALS (NORTH AMERICA), INC.",32A-255-G NO 14 BLAST FURNACE,GARY,IN,46402-1060,"12,708.00",218057084-003,1 X 50 HYD HOSE,2,50,100,300,,,600,,
219,0.997,"UNITED RENTALS (NORTH AMERICA), INC.",32A-255-G NO 14 BLAST FURNACE,GARY,IN,46402-1060,"12,708.00",218057084-003,"6"" QC 90 BEND",4,17,34,102,,,408,,
220,0.997,"UNITED RENTALS (NORTH AMERICA), INC.",32A-255-G NO 14 BLAST FURNACE,GARY,IN,46402-1060,"12,708.00",218057084-003,HOSE 6X10 RUBBER SUCTION QC,12,35,70,210,,,"2,520.00",,
221,0.997,"UNITED RENTALS (NORTH AMERICA), INC.",32A-255-G NO 14 BLAST FURNACE,GARY,IN,46402-1060,"12,708.00",218057084-003,HOSE 6X50 RUBBER DISCHARGE - QC,8,70,140,420,,,"3,360.00",,
222,0.997,"UNITED RENTALS (NORTH AMERICA), INC.",32A-255-G NO 14 BLAST FURNACE,GARY,IN,46402-1060,"12,708.00",218057084-003,1-1/4 50 HYDRAULIC HOSE,2,60,120,360,,,720,,
223,0.997,"UNITED RENTALS (NORTH AMERICA), INC.",FINES CRUSHER,MOUNTAIN IRON,MN,55768-3013,791,214551178-006,SWEEPER WALKBEHIND,1,199,453,791,. 00,285,791,,
224,0.94,"UNITED RENTALS (NORTH AMERICA), INC.",USS,GARY,IN,46402-3101,"3,718.90",219958729-001,RUBBER TRACK - T400 SHOP SUPPLIES,2 1,,,1449.950 31.500,,,"2,899.90 31.50",,
225,0.94,"UNITED RENTALS (NORTH AMERICA), INC.",USS,GARY,IN,46402-3101,"3,718.90",219958729-001,LABOR-REPAIR,,,,175,50,.,87.5,,
226,0.94,"UNITED RENTALS (NORTH AMERICA), INC.",USS,GARY,IN,46402-3101,"3,718.90",219958729-001,LABOR-REPAIR,,,,175,,4,700,,
227,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",USS STEEL RESEARCH,MUNHALL,PA,15120-5044,"3,635.00",218685018-001,BOOM 60-64' TELESCOPIC ELECT/MULTI PWR,1,501,"1,211.00","3,085.00",. 00,979.8,"3,085.00",,501
228,0.573,"UNITED RENTALS (NORTH AMERICA), INC.",AGGLOMERATOR STEP III,MOUNTAIN IRON,MN,55768-3013,"1,796.07",223482803-001,LEFT SIDE GLASS,1,,,,,,175.4,,
229,0.573,"UNITED RENTALS (NORTH AMERICA), INC.",AGGLOMERATOR STEP III,MOUNTAIN IRON,MN,55768-3013,"1,796.07",223482803-001,"WEATHERSTRIP, DOUBLE",220,,,,,,743.6,,
230,0.573,"UNITED RENTALS (NORTH AMERICA), INC.",AGGLOMERATOR STEP III,MOUNTAIN IRON,MN,55768-3013,"1,796.07",223482803-001,"RETAINER, GLASS",3,,,17.91,,,53.73,,
231,0.573,"UNITED RENTALS (NORTH AMERICA), INC.",AGGLOMERATOR STEP III,MOUNTAIN IRON,MN,55768-3013,"1,796.07",223482803-001,MIRROR,1,,,218.84,,,218.84,,
232,0.573,"UNITED RENTALS (NORTH AMERICA), INC.",AGGLOMERATOR STEP III,MOUNTAIN IRON,MN,55768-3013,"1,796.07",223482803-001,SHOP SUPPLIES,1,,,23.25,,,23.25,,
233,0.573,"UNITED RENTALS (NORTH AMERICA), INC.",AGGLOMERATOR STEP III,MOUNTAIN IRON,MN,55768-3013,"1,796.07",223482803-001,TRAVEL,,,1.25,,,,193.75,,
234,0.573,"UNITED RENTALS (NORTH AMERICA), INC.",AGGLOMERATOR STEP III,MOUNTAIN IRON,MN,55768-3013,"1,796.07",223482803-001,LABOR-DIAGNOSTIC TIME,,,. 50,155,,,77.5,,
235,0.573,"UNITED RENTALS (NORTH AMERICA), INC.",AGGLOMERATOR STEP III,MOUNTAIN IRON,MN,55768-3013,"1,796.07",223482803-001,TRAVEL,,,1,155,,,155,,
236,0.573,"UNITED RENTALS (NORTH AMERICA), INC.",AGGLOMERATOR STEP III,MOUNTAIN IRON,MN,55768-3013,"1,796.07",223482803-001,LABOR-REPAIR,,,1,155,,,155,,
237,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",PLANT BULL GANG,MOUNTAIN IRON,MN,55768-3013,890,203334558-013,COMPRESSOR 175-195 CFM TIER 4,1,147,370,890,. 00,618,890,,
238,0.997,"UNITED RENTALS (NORTH AMERICA),INC.",US STEEL #14 BLAST FURNACE,GARY,IN,46402-3101,"2,627.83",214100665-003,SKID STEER TRACK LOADER 2000-2399#,1,528,"1,250.00","2,570.00",. 00,977.6,"2,570.00",,
239,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",US STEEL,GARY,IN,46402-3101,"4,392.00",218880106-008,BOX 25 YD DEWATERING ROLL TARP W/INSERT,1,79,549,"2,196.00",,,"2,196.00",,
240,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",US STEEL,GARY,IN,46402-3101,"4,392.00",218880106-008,BOX 25 YD DEWATERING ROLL TARP W/INSERT,1,79,549,"2,196.00",,,"2,196.00",,
241,0.997,"UNITED RENTALS (NORTH AMERICA), INC.",FINES CRUSHER,MOUNTAIN IRON,MN,55768-3013,470,214304475-001,INDUSTRIAL ELECTRIC CART 3 WHEELED,1,71,175,470,. 00,850,470,,
242,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",PELLET PLANT,KEEWATIN,MN,55753,"2,390.00",221106052-005,COMPRESSOR 750-795 CFM 150 PSI T4,1,691.50 461.00,"1,561.50 1,041.00","4,591.50 3,061.00",,,"2,082.00",,
243,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",PELLET PLANT,KEEWATIN,MN,55753,"2,390.00",221106052-005,"AIR HOSE 2"" X 25'",2,34,77,219,4498,4386,308,,
244,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",FINES CRUSHER,MOUNTAIN IRON,MN,55768-3013,"1,507.00",214027488-003,FORKLIFT WHSE 6000# GAS/LP,1,286,743,"1,507.00",. 00,500,"1,507.00",,
245,0.997,"UNITED RENTALS (NORTH AMERICA), INC.",FINES CRUSHER,MOUNTAIN IRON,MN,55768-3013,470,214958472-009,INDUSTRIAL ELECTRIC CART 3 WHEELED,1,71,175,470,. 00,2,470,,
246,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",FINES CRUSHER,MOUNTAIN IRON,MN,55768-3013,525,219938490-005,INDUSTRIAL ELECTRIC CART 3 WHEELED,1,79,186,525,. 00,1623.7,525,,
247,0.94,"UNITED RENTALS (NORTH AMERICA), INC.",US STEEL MIDWEST (PORTAGE),PORTAGE,IN,46368,"1,453.01",176155418-054,TANK 6500 GAL TD POLY W/LINER,1,27.5,192.5,770,,,770,,
248,0.94,"UNITED RENTALS (NORTH AMERICA), INC.",US STEEL MIDWEST (PORTAGE),PORTAGE,IN,46368,"1,453.01",176155418-054,BERM 7500 GAL EZ SET FENCE,1,24.39,170.75,683.01,,,683.01,,
249,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",STANDBY POWER,KEEWATIN,MN,55753,"11,760.00",201142137-022,STANDBY RENTAL 800KW GENERATOR,1,2040,3920,11760,,,,,
250,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",AGGLOMERATOR STEP I&II,MOUNTAIN IRON,MN,55768-3013,"1,985.00",228814545-001,BOOM 40-50' ARTICULATING,1,415,935,"1,985.00",. 00,2438,"1,985.00",,
251,0.997,"UNITED RENTALS (NORTH AMERICA), INC.",KEETAC FAB SHOP,KEEWATIN,MN,55753,"1,689.00",214307947-002,FORKLIFT VARIABLE REACH 5000# 16-20',1,356,802,"1,689.00",. 00,850,"1,689.00",,
252,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",PELLET PLANT,KEEWATIN,MN,55753,"4,984.00",215883715-001,CRANE 8.5-9 TON INDUSTRIAL,1,"1,131.00","2,063.00","4,984.00",. 00,1900,"4,984.00",,
253,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",US STEEL-FAIRFIELD WORKS,FAIRFIELD,AL,35064-1368,"1,005.57",190103876-040,BOX 25 YD VACUUM ROLL OFF,1,34.47,241.34,965.41,,,965.41,,241.34
254,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",FINES CRUSHER,MOUNTAIN IRON,MN,55768-3013,"1,583.00",228073836-003,FORKLIFT WHSE 6000# GAS/LP,1,301,781,"1,583.00",. 00,1100.46,"1,583.00",,
255,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",US STEEL #14 BLAST FURNACE,GARY,IN,46402-3101,"2,627.83",214100665-005,SKID STEER TRACK LOADER 2000-2399#,1,528,"1,250.00","2,570.00",. 00,977.6,"2,570.00",,
256,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",USS-GARY WORKS,GARY,IN,46402-1060,"1,068.51",124205482-110,FORKLIFT WHSE 1000-4000# ELEC WALKBEHIND,1,164,425,"1,045.00",. 00,75,"1,045.00",,164
257,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",RECYCLE TRUCK,GARY,IN,46402-3101,"3,762.00",218428223-010,"PUMP 6"" VAC ASSIST DIESEL",1,420,840,"2,520.00",. 00,6.6,"2,520.00",,
258,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",RECYCLE TRUCK,GARY,IN,46402-3101,"3,762.00",218428223-010,HOSE 6X20 RUBBER SUCTION QC,1,65,130,390,,,390,,
