,confidence,Incumbent Supplier,Receiving Plant,Receiving Plant City,Receiving Plant State,Receiving Plant Zip Code,Total Amount,Invoice,Equipment Type,Qty,Daily,Weekly,Monthly,Hours In,Hours Out,Amount,Usage in Hours,Hourly
12,0.964,"UNITED RENTALS (NORTH AMERICA), INC.",HOT STRIP,GARY,IN,46402,"9,974.42",225601380-002,65HP HYDRAULIC POWER UNIT,1,628.95 628.95,"1,257.99","3,770.37",9381.2,9294.8,"2,515.98",,
13,0.964,"UNITED RENTALS (NORTH AMERICA), INC.",HOT STRIP,GARY,IN,46402,"9,974.42",225601380-002,1-1/4 X 50 HYDRAULIC HOSE,4,82.50 82.50,165.05,495.31,,,"1,320.40",,
14,0.964,"UNITED RENTALS (NORTH AMERICA), INC.",HOT STRIP,GARY,IN,46402,"9,974.42",225601380-002,1 X 50 HYD HOSE,4,73.56 73.56,145.44,436.43,,,"1,163.52",,
15,0.964,"UNITED RENTALS (NORTH AMERICA), INC.",HOT STRIP,GARY,IN,46402,"9,974.42",225601380-002,HOSE 6X20 RUBBER SUCTION QC,5,81.66 81.66,161.26,481.75,,,"1,612.60",,
16,0.964,"UNITED RENTALS (NORTH AMERICA), INC.",HOT STRIP,GARY,IN,46402,"9,974.42",225601380-002,HOSE 6X50 RUBBER DISCHARGE - QC,4,97.44 97.44,194.96,580.68,,,"1,559.68",,
17,0.997,"UNITED RENTALS (NORTH AMERICA), INC.",FINES CRUSHER,MOUNTAIN IRON,MN,55768-3013,791,214551178-004,SWEEPER WALKBEHIND,1,199,453,791,. 00,285,791,,
18,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",FINES CRUSHER,MOUNTAIN IRON,MN,55768-3013,"1,507.00",214026550-002,FORKLIFT WHSE 6000# GAS/LP,1,286,743,"1,507.00",. 00,861.91,"1,507.00",,
19,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",RECYCLE TRUCK,GARY,IN,46402-3101,"3,762.00",218428223-012,"PUMP 6"" VAC ASSIST DIESEL",1,420,840,"2,520.00",. 00,6.6,"2,520.00",,
20,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",RECYCLE TRUCK,GARY,IN,46402-3101,"3,762.00",218428223-012,HOSE 6X20 RUBBER SUCTION QC,1,65,130,390,,,390,,
21,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",RECYCLE TRUCK,GARY,IN,46402-3101,"3,762.00",218428223-012,"6"" QC 90 BEND",1,17,34,102,,,102,,
22,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",RECYCLE TRUCK,GARY,IN,46402-3101,"3,762.00",218428223-012,STRAINERS (ALL SIZES),1,5,10,30,,,30,,
